id;дата;час;заголовок;ссылка;показы;открытия;дочитывания;минуты;лайки;комментарии;подписки;CTR;дочитываемость;лайки_на_дочит;комм_на_дочит;подписки_на_дочит;сцена;функция;порог_входа;фокус;объект_осуждения;цифра_в_заголовке;негативная_рамка;вопрос;обращение_вы;конкретный_якорь;спорность;серийная_рубрика;уверенность_разметки
A579;2023-12-15;13;Ярмарки в уходящем году: куда стоит сходить в декабре в Санкт-Петербурге?;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/657c0ccc6aba5b2d76bef1bd;5490;290;170;133;25;2;0;0.0528;0.5862;0.1471;0.0118;0.0;прочее;познавательное;узкая;читатель;нет;0;0;1;0;1;0;1;высокая
A578;2023-12-17;12;Винтажные подарки – штучный товар для ценителей;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/657eb11a83b4b95986426920;358062;14420;10015;7260;190;19;27;0.0403;0.6945;0.019;0.0019;0.0027;гости_праздники;познавательное;узкая;нейтрально;нет;0;0;0;0;1;0;0;высокая
A577;2023-12-19;13;Пустая беседа или искусство непринуждённого диалога?;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65815ca869ac86089c7d1a62;1010120;26263;13563;20496;405;87;142;0.026;0.5164;0.0299;0.0064;0.0105;отношения_общение;разъяснение_нормы;бытовая;нейтрально;нет;0;0;1;0;0;0;0;высокая
A576;2023-12-21;12;Новогодняя экскурсия на Ленфильме и мастер-класс по гриму. Про кинематограф с обратной стороны экрана.;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/658312b02df2b36839247d12;4982;160;95;103;18;3;1;0.0321;0.5938;;;;прочее;познавательное;узкая;нейтрально;нет;0;0;0;0;1;0;0;низкая
A575;2023-12-23;12;Возродить традиции русского застолья легко, когда есть Багетная мастерская;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/6585d80041d6bb6c24552ea4;7490;219;145;191;23;9;3;0.0292;0.6621;0.1586;0.0621;0.0207;стол_еда;познавательное;бытовая;нейтрально;нет;0;0;0;0;1;0;0;низкая
A574;2023-12-25;15;События трёхсотлетней давности на совместном экране. Премьера киноленты о царе Петре I;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65896ef339c6e24c8b4a458e;2231;44;21;25;13;8;0;0.0197;;;;;история_высший_свет;познавательное;узкая;нейтрально;нет;1;0;0;0;1;0;0;высокая
A573;2023-12-27;13;Файер шоу на вашем балконе. Как не остаться без окон в январе;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/658b46eabff6e67336619e7b;3560;62;33;24;18;0;0;0.0174;;;;;гости_праздники;польза;бытовая;читатель;нет;0;1;0;1;1;0;0;высокая
A572;2023-12-29;12;Как быть зайцем на алкогольном вечере?;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/658e82b52eb5c11b9676b96b;1294592;97308;62133;85501;1113;294;278;0.0752;0.6385;0.0179;0.0047;0.0045;гости_праздники;польза;бытовая;читатель;нет;0;0;1;0;1;0;0;высокая
A571;2023-12-31;13;А вы знали, что до 1699 года Новый год в России отмечали в сентябре? Именно в этом году Пётр I объявил о новом летоисчислении.;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/6590965195509b2d84458681;10070;507;227;287;34;12;1;0.0503;0.4477;0.1498;0.0529;0.0044;история_высший_свет;познавательное;узкая;нейтрально;нет;1;0;1;1;1;0;0;высокая
A570;2024-01-02;13;Золушка потеряла туфельку, а я - тиару. Бал на корабле в канун Нового года;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/6593db9a1f823614d3245261;13345;410;275;478;55;3;2;0.0307;0.6707;0.2;0.0109;0.0073;история_высший_свет;познавательное;узкая;нейтрально;нет;0;0;0;0;1;0;0;высокая
A569;2024-01-04;13;Ходить по лезвию: правила поведения на общественных катках;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65966eebeb35721ecb8570c0;26140;1472;353;376;31;4;3;0.0563;0.2398;0.0878;0.0113;0.0085;публичные_места_транспорт;польза;бытовая;нейтрально;нет;0;0;0;0;1;0;0;высокая
A568;2024-01-06;11;Этикет в фотостудии;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65990eefc767be610dafb991;14844;382;225;236;29;1;2;0.0257;0.589;0.1289;0.0044;0.0089;публичные_места_транспорт;польза;узкая;читатель;нет;0;0;0;0;1;0;0;низкая
A567;2024-01-08;11;«Вот зачем нужен этикет», - подумала я, когда лакей подал зеленый горошек, который с изумлением изучали все гости.;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/659bb02b2a04ce11257e2938;545516;62401;45846;53647;843;354;169;0.1144;0.7347;0.0184;0.0077;0.0037;стол_еда;познавательное;узкая;третьи_лица;гости;0;0;0;0;1;0;0;высокая
A566;2024-01-10;12;Как стать лучшим гостем на чужом дне рождения;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/659d05c5b296f85363feeead;1649422;123911;87332;130682;2253;348;382;0.0751;0.7048;0.0258;0.004;0.0044;гости_праздники;польза;бытовая;читатель;нет;0;0;0;0;1;0;0;высокая
A565;2024-01-12;18;Закрой глаза и загадай желание!;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65a0dfdad99f650ca42a7a52;67893;2305;1121;870;69;5;19;0.034;0.4863;0.0616;0.0045;0.0169;гости_праздники;познавательное;бытовая;читатель;нет;0;0;0;0;0;0;0;низкая
A564;2024-01-14;11;Траурный этикет. О чём сложно говорить, но нужно знать каждому;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65a38efe44abe535e13e905d;3916793;345827;242185;338491;5758;1041;1219;0.0883;0.7003;0.0238;0.0043;0.005;прочее;польза;бытовая;читатель;нет;0;0;0;0;1;0;0;высокая
A563;2024-01-16;12;Социально-образовательный проект «Образ будущего»;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65a58c49e093670734455e49;8878;449;195;174;41;3;2;0.0506;0.4343;0.2103;0.0154;0.0103;прочее;познавательное;узкая;нейтрально;нет;0;0;0;0;1;0;0;низкая
A562;2024-01-18;14;Сладкая кукуруза, с днём рождения!;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65a81a7c335af54b4b43da2a;8709;504;324;275;49;7;2;0.0579;0.6429;0.1512;0.0216;0.0062;прочее;познавательное;бытовая;нейтрально;нет;0;0;0;0;1;0;0;низкая
A561;2024-01-20;12;Этикет как волшебная таблетка от эгоизма;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65aa7d3a5d43777ffc9904bd;48184;882;500;393;93;6;8;0.0183;0.5669;0.186;0.012;0.016;прочее;разъяснение_нормы;бытовая;нейтрально;нет;0;0;0;0;0;0;0;низкая
A560;2024-01-22;12;Тональник должен остаться на лице. Этикет в магазине вещей;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65ae2112612efc41c8a63587;560608;31452;22072;26342;285;131;58;0.0561;0.7018;0.0129;0.0059;0.0026;публичные_места_транспорт;польза;бытовая;читатель;нет;0;0;0;0;1;1;0;высокая
A559;2024-01-24;12;Как путешествовать с животными. Правила проезда в поезде;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65b0ced4c5eb1b4dc153b62e;17921;358;245;178;33;11;3;0.02;0.6844;0.1347;0.0449;0.0122;публичные_места_транспорт;польза;узкая;читатель;нет;0;0;0;0;1;0;0;высокая
A558;2024-01-26;14;Этикет мороженого. Что общего у фруктов и снега?;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65b35b10a4f0b521043de3d8;130552;1102;630;591;72;15;1;0.0084;0.5717;0.1143;0.0238;0.0016;стол_еда;польза;бытовая;нейтрально;нет;0;0;1;0;1;0;0;высокая
A557;2024-01-28;12;Современный человек. Какой он? Социальный проект «Образ Будущего»;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65b3c7e8fa240c5e6134b62d;12248;865;390;325;105;7;14;0.0706;0.4509;0.2692;0.0179;0.0359;прочее;познавательное;узкая;нейтрально;нет;0;0;1;0;1;0;0;низкая
A556;2024-01-30;12;8 книг по этикету, которые сделают вас любимым собеседником или желанным партнёром по бизнесу.;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65b8a9a2ddb34e045460e434;624285;12484;7066;6535;161;15;94;0.02;0.566;0.0228;0.0021;0.0133;прочее;познавательное;бытовая;читатель;нет;1;0;0;1;1;0;0;высокая
A555;2024-02-01;12;Bonjour! Французская не местная булочка, которая завоевала сердце не только Парижа;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65bb5dfb168cdf5c397c9920;17288;574;359;404;60;4;8;0.0332;0.6254;0.1671;0.0111;0.0223;стол_еда;познавательное;узкая;нейтрально;нет;0;0;0;0;1;0;0;высокая
A554;2024-02-03;12;Как быть, если по понедельникам рабочий е-мейл трещит по швам от писем?;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65bdf4f4ff094971f0a10338;248614;6136;1866;1588;64;18;16;0.0247;0.3041;0.0343;0.0096;0.0086;цифровое_общение;польза;бытовая;читатель;нет;0;0;1;0;1;0;0;высокая
A553;2024-02-05;13;Как красиво ответить, если вам хамят в лицо?;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65c07cba45d96a12fdfda2e7;14250473;1139298;744473;728963;16198;3262;2494;0.0799;0.6534;0.0218;0.0044;0.0034;отношения_общение;польза;бытовая;читатель;нет;0;1;1;1;1;0;0;высокая
A552;2024-02-07;13;Если друг отписался вдруг…;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65c33c890f01582226c885c0;88097;7420;4338;3510;188;64;23;0.0842;0.5846;0.0433;0.0148;0.0053;цифровое_общение;разбор_чужого_поведения;бытовая;третьи_лица;нет;0;0;0;0;1;0;0;низкая
A551;2024-02-09;13;Супермаркет - место для выяснения отношений или приятных покупок?;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65c5fb4109606a2c08cc169d;63455;497;227;264;34;5;0;0.0078;0.4567;0.1498;0.022;0.0;публичные_места_транспорт;разбор_чужого_поведения;бытовая;третьи_лица;другое;0;1;1;0;1;0;0;высокая
A550;2024-02-11;11;Вы пробовали жить без телефона? Через сколько часов вы сорвётесь?;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65c7ed12e7105805f101d98b;17994;766;311;314;41;9;0;0.0426;0.406;0.1318;0.0289;0.0;цифровое_общение;познавательное;бытовая;читатель;нет;0;0;1;1;1;0;0;высокая
A549;2024-02-13;12;Оскорблять нельзя идеализировать. А вы правильно ставите запятую, когда делаете комплимент?;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65cb1c27db1fd65e3269618f;84863;2858;1632;1649;132;12;12;0.0337;0.571;0.0809;0.0074;0.0074;отношения_общение;польза;бытовая;читатель;нет;0;1;1;1;1;0;0;высокая
A548;2024-02-15;12;Этикет - панацея от неуверенности в действиях;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65cdd00d09606a2c08fb41b7;77640;3754;2192;2124;169;17;42;0.0484;0.5839;0.0771;0.0078;0.0192;прочее;разъяснение_нормы;бытовая;нейтрально;нет;0;0;0;0;0;0;0;низкая
A547;2024-02-17;13;Цветы мужчинам: да или нет? Да!;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65d0784db59d795072ed3e68;12623;388;223;239;40;7;0;0.0307;0.5747;0.1794;0.0314;0.0;гости_праздники;разъяснение_нормы;бытовая;нейтрально;нет;0;0;1;0;1;1;0;высокая
A546;2024-02-19;12;Вандализм на памятниках. Разрушить может каждый, а заслужить - единицы.;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65d316f2b59d7950726ccca6;10128;369;119;122;46;1;3;0.0364;0.3225;0.3866;0.0084;0.0252;публичные_места_транспорт;разбор_чужого_поведения;узкая;третьи_лица;другое;0;1;0;0;1;0;0;высокая
A545;2024-02-21;13;Неочевидные правила ресторанного этикета;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65d5a9e115e35e7dc7a1030d;1894933;123986;99831;152144;2028;505;348;0.0654;0.8052;0.0203;0.0051;0.0035;стол_еда;польза;бытовая;читатель;нет;0;0;0;0;1;0;0;высокая
A544;2024-02-23;13;Английская традиция чайной церемонии. Afternoon tea.;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65d86b6fd2b1603f98ad4d4c;67062;2165;1353;1808;112;6;16;0.0323;0.6249;0.0828;0.0044;0.0118;стол_еда;познавательное;узкая;нейтрально;нет;0;0;0;0;1;0;0;высокая
A543;2024-02-25;13;Несколько дней назад я провела лекцию по этикету в школе в центре Санкт-Петербурга.;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65db0de7569aee7bb40100a6;12243;227;136;129;40;2;0;0.0185;0.5991;0.2941;0.0147;0.0;работа;познавательное;узкая;нейтрально;нет;0;0;0;0;1;0;0;высокая
A542;2024-02-27;15;Как путешествовать в любой уголок мира, не выезжая из родного города?;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65ddbe064b6b2f256fe048c3;27224;3273;1568;3354;45;1;0;0.1202;0.4791;0.0287;0.0006;0.0;прочее;познавательное;бытовая;читатель;нет;0;0;1;0;0;0;0;низкая
A541;2024-02-29;16;Фудмаркет - многонациональный язык, доступный каждому.;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65e07ff73057d83ff3266082;7259;220;95;125;29;1;0;0.0303;0.4318;;;;стол_еда;познавательное;бытовая;нейтрально;нет;0;0;0;0;1;0;0;высокая
A540;2024-03-02;12;Что НЕ подарить на 8 марта?;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65e2e5b22b8b137faf70d9cb;306720;21070;15881;12548;208;102;26;0.0687;0.7537;0.0131;0.0064;0.0016;гости_праздники;польза;бытовая;читатель;нет;1;1;1;0;1;1;0;высокая
